codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
79865;PTEFI;AVIÃO;NEIVA;EMB-721C;P32R;PISTÃO;1;MONOMOTOR;1633;7;1976;BRASIL;BRASIL;JUSCELINO KUBITSCHECK;CRISTIANO FERREIRA VARELLA;CRUZEIRO;PRIVADA;NENHUM;0
79864;PTKVW;AVIÃO;CESSNA AIRCRAFT;U206F;C206;PISTÃO;1;MONOMOTOR;1633;6;1975;BRASIL;BRASIL;POUSO DA ÁGUIA;PAA-PIU;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL;1
79863;PSEBI;AVIÃO;DIAMOND;DA 62;DA62;PISTÃO;2;BIMOTOR;2300;NULL;2018;BRASIL;BRASIL;Fazenda Vitória;ÁREA DE POUSO PARA USO AEROAGRÍCOLA;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL;0
79862;PRAYW;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2011;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;PORTO SEGURO;DESCIDA;REGULAR;NENHUM;0
79860;PTUGV;AVIÃO;NEIVA;EMB-201A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;1992;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
79859;PRSTO;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;1;MONOMOTOR;1814;1;1972;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
79858;PTWEE;AVIÃO;CESSNA AIRCRAFT;U206F;C206;PISTÃO;1;MONOMOTOR;1633;6;1976;BRASIL;BRASIL;OURILÂNDIA DO NORTE;NÃO IDENTIFICADO;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
79857;PTBXV;AVIÃO;CESSNA AIRCRAFT;182E;C182;PISTÃO;1;MONOMOTOR;1270;4;1962;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;PRIVADA;SUBSTANCIAL;1
79854;PTWUU;AVIÃO;CESSNA AIRCRAFT;T188C;C188;PISTÃO;1;MONOMOTOR;1996;1;1978;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRÍCOLA;DESTRUÍDA;1
79852;PTFIB;AVIÃO;CESSNA AIRCRAFT;150M;C150;PISTÃO;1;MONOMOTOR;726;2;1975;BRASIL;BRASIL;LEITE LOPES;LEITE LOPES;CRUZEIRO;INSTRUÇÃO;SUBSTANCIAL;0
79851;PPZVI;AVIÃO;ELDO COELHO DE CASTRO;P-56C;ZZZZ;PISTÃO;1;MONOMOTOR;660;2;1985;BRASIL;BRASIL;BOTELHO;BOTELHO;CRUZEIRO;PRIVADA;LEVE;0
79850;PPEFM;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2001;BRASIL;BRASIL;PINTO MARTINS;PINTO MARTINS;ESTACIONAMENTO;POLICIAL;LEVE;0
79849;PRMCA;AVIÃO;CESSNA AIRCRAFT;T188C;C188;PISTÃO;1;MONOMOTOR;1997;1;1979;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;DECOLAGEM;AGRÍCOLA;LEVE;0
79848;PTUUB;AVIÃO;NEIVA;EMB-202A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;2006;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;LEVE;0
79847;PTEET;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;6;1976;BRASIL;BRASIL;JACAREPAGUÁ;RESENDE;POUSO;PRIVADA;LEVE;0
79846;PTOXQ;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;6;1994;BRASIL;BRASIL;LUÍS DAL CANALLE FILHO;ESTÂNCIA HÉRCULES;POUSO;PRIVADA;SUBSTANCIAL;0
79845;PUCJR;ULTRALEVE;DESCONHECIDO;MXP-740;ULAC;PISTÃO;1;MONOMOTOR;472;2;1997;BRASIL;BRASIL;BRIGADEIRO ANTÔNIO CABRAL;BRIGADEIRO ANTÔNIO CABRAL;POUSO;PRIVADA;LEVE;0
79844;PRJBP;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;2;BIMOTOR;12020;NULL;NULL;BRASIL;BRASIL;JACAREPAGUÁ;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
79843;PRTLI;AVIÃO;DIAMOND;DA 62;DA62;PISTÃO;2;BIMOTOR;2300;7;2017;BRASIL;BRASIL;JACAREPAGUÁ;EURICO DE AGUIAR SALLES;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
79841;PRCRJ;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;6;2011;BRASIL;BRASIL;BRIGADEIRO ANTÔNIO CABRAL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
79840;PTLYG;AVIÃO;BEECH AIRCRAFT;95-B55;BE55;PISTÃO;2;BIMOTOR;2268;6;1982;BRASIL;BRASIL;ASSOCIAÇÃO TOCANTINENSE DE AVIAÇÃO;SANTA GENOVEVA/GOIÂNIA;DECOLAGEM;PRIVADA;SUBSTANCIAL;6
79839;PRTYR;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;78000;180;2015;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;JORGE CHÁVEZ INTERNATIONAL AIRPORT;CRUZEIRO;REGULAR;NENHUM;0
79837;PPRQY;AVIÃO;CIA AERONAUTICA PAULISTA;CAP-4;PAUL;PISTÃO;1;MONOMOTOR;587;2;1946;BRASIL;BRASIL;FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME;FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME;CRUZEIRO;INSTRUÇÃO;NENHUM;0
79836;PRATW;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;23000;75;2012;BRASIL;BRASIL;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ALUÍZIO ALVES;SUBIDA;REGULAR;LEVE;0
79835;PSAED;AVIÃO;YABORA INDUSTRIA AERONAUTICA S.A.;ERJ 190-400;E295;JATO;2;BIMOTOR;61500;0;2020;BRASIL;BRASIL;SENADOR PETRÔNIO PORTELLA;VIRACOPOS;POUSO;REGULAR;NENHUM;0
79834;PRAXF;AVIÃO;EMBRAER;ERJ 190-200 LR;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;VIRACOPOS;LAURO CARNEIRO DE LOYOLA;TÁXI;REGULAR;NENHUM;0
79833;PTUTU;AVIÃO;NEIVA;EMB-202A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;2005;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRÍCOLA;SUBSTANCIAL;0
79831;PPMMS;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;3969;8;2004;BRASIL;BRASIL;BACACHERI;GOVERNADOR JOSÉ RICHA;SUBIDA;***;NENHUM;0
79831;PRGUC;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;193;2010;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;AFONSO PENA;PROCEDIMENTO DE APROXIMAÇÃO IFR;REGULAR;NENHUM;0
79830;PTHYA;HELICÓPTERO;HELIBRAS;AS 355 F2;AS55;TURBOEIXO;2;BIMOTOR;2540;6;1992;BRASIL;BRASIL;HELICENTRO BH;HELICENTRO BH;ESTACIONAMENTO;TÁXI AÉREO;NENHUM;0
79829;PRBTB;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;NULL;NULL;BRASIL;BRASIL;PARÁ DE MINAS;PARÁ DE MINAS;DECOLAGEM;INSTRUÇÃO;NENHUM;0
79827;PRTYA;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2013;BRASIL;BRASIL;CONGONHAS;EURICO DE AGUIAR SALLES;DECOLAGEM;REGULAR;LEVE;0
79826;PRYYC;***;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;79000;NULL;NULL;BRASIL;BRASIL;NÃO IDENTIFICADO;CONGONHAS;CRUZEIRO;REGULAR;NENHUM;0
79825;PTVGQ;AVIÃO;NEIVA;EMB-810D;PA34;PISTÃO;2;BIMOTOR;2155;6;1988;BRASIL;BRASIL;NÃO IDENTIFICADO;ZUMBI DOS PALMARES;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
79824;PRALA;AVIÃO;PIPER AIRCRAFT;PA-25-235;PA25;PISTÃO;1;MONOMOTOR;1315;1;0;BRASIL;BRASIL;RIO PARANAÍBA;RIO PARANAÍBA;MANOBRA;AGRÍCOLA;SUBSTANCIAL;0
79823;PPCLD;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2009;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;PRIVADA;SUBSTANCIAL;0
79822;PRAKD;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;23000;75;0;BRASIL;BRASIL;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
79821;PRAXR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2013;BRASIL;BRASIL;MAESTRO WILSON FONSECA;VAL DE CANS / JÚLIO CEZAR RIBEIRO;SUBIDA;REGULAR;NENHUM;0
79820;PTHYA;HELICÓPTERO;HELIBRAS;AS 355 F2;AS55;TURBOEIXO;2;BIMOTOR;2540;6;1992;BRASIL;BRASIL;HELICENTRO BH;HELICENTRO BH;PARTIDA DO MOTOR;TÁXI AÉREO;NENHUM;0
79819;PTWQZ;AVIÃO;BEECH AIRCRAFT;V35B;BE35;PISTÃO;1;MONOMOTOR;1542;6;1974;BRASIL;BRASIL;NÃO IDENTIFICADO;TERUEL IPANEMA ESTÂNCIA;POUSO;PRIVADA;LEVE;0
79818;PTVIY;AVIÃO;NEIVA;EMB-810D;PA34;PISTÃO;2;BIMOTOR;2155;7;1989;BRASIL;BRASIL;NÃO IDENTIFICADO;CANARANA;POUSO;PRIVADA;SUBSTANCIAL;0
79816;PRPDO;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT75;TURBOÉLICE;2;BIMOTOR;23000;75;0;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTADUAL DARIO GUARITA;SUBIDA;REGULAR;LEVE;0
79814;PPEMF;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1977;BRASIL;BRASIL;BRIGADEIRO ANTÔNIO CABRAL;BRIGADEIRO ANTÔNIO CABRAL;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
79812;PSAED;AVIÃO;YABORA INDUSTRIA AERONAUTICA S.A.;ERJ 190-400;E295;JATO;2;BIMOTOR;61500;0;2020;BRASIL;BRASIL;VIRACOPOS;CAMPO GRANDE;POUSO;REGULAR;NENHUM;0
79811;PRWVW;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2010;BRASIL;BRASIL;GUARAPARI;JOÃO MONTEIRO;APROXIMAÇÃO FINAL;PRIVADA;DESTRUÍDA;2
79810;PUZUM;AVIÃO;VANS;RV-04;*;TURBOÉLICE;1;MONOMOTOR;680;2;NULL;BRASIL;BRASIL;OLAVO CECCO RIGON;OLAVO CECCO RIGON;CIRCUITO DE TRÁFEGO;PRIVADA;LEVE;0
79809;PRYRJ;AVIÃO;AIRBUS;A320-253N;A20N;JATO;2;BIMOTOR;79000;182;2017;BRASIL;BRASIL;PORTO SEGURO;CONGONHAS;CRUZEIRO;REGULAR;NENHUM;0
79808;PRAQH;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;23000;75;2013;BRASIL;BRASIL;TANCREDO NEVES;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;SUBIDA;REGULAR;NENHUM;0
79805;PRMYK;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2010;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE CASTRO PINTO;DECOLAGEM;REGULAR;LEVE;0
79804;PRAJZ;***;BOEING;737-48E;B734;JATO;2;BIMOTOR;65090;NULL;NULL;BRASIL;BRASIL;EDUARDO GOMES;VIRACOPOS;DESCIDA;REGULAR;NENHUM;0
79803;PTLPG;AVIÃO;BEECH AIRCRAFT;B200;BE20;TURBOÉLICE;2;BIMOTOR;5670;10;1987;BRASIL;BRASIL;MACA AERO;ATLAS BRASIL CANTANHEDE;TÁXI;PRIVADA;NENHUM;0
79802;PRGUF;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;193;2010;BRASIL;BRASIL;SANTOS DUMONT;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
79801;PPDPD;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;1;MONOMOTOR;1724;6;1979;BRASIL;BRASIL;POUSO DA ÁGUIA;POUSO DA ÁGUIA;POUSO;PRIVADA;LEVE;0
79800;PRURN;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;6;2002;BRASIL;BRASIL;CARLOS ALBERTO DA COSTA NEVES;CAMPO DE MARTE - SP;POUSO;PRIVADA;NENHUM;0
