codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
88808;CCBGU;AVIÃO;BOEING COMPANY;B787-9;B789;JATO;2;BIMOTOR;253000;0;2018;CHILE;CHILE;GOVERNADOR ANDRÉ FRANCO MONTORO;JOHN F. KENNEDY INTERNATIONAL AIRPORT;SUBIDA;REGULAR;NENHUM;0
88804;CCBEN;AVIÃO;AIRBUS S.A.S.;A321-211;A321;JATO;2;BIMOTOR;89000;0;0;CHILE;CHILE;AEROPORTO INTERNACIONAL DE SANTIAGO;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;REGULAR;LEVE;0
88794;N412MC;AVIÃO;BOEING COMPANY;747-400 SERIES;B744;JATO;2;BIMOTOR;397000;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;TÁXI;REGULAR;NENHUM;0
88783;CCBAC;AVIÃO;AIRBUS S.A.S;A320-233;A323;JATO;2;BIMOTOR;242000;0;0;CHILE;CHILE;AEROPORTO INTERNACIONAL JORGE CHÁVEZ;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
88769;PSGFC;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;2;BIMOTOR;75214;8;2007;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;REGULAR;NENHUM;0
88768;PTRDF;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTÃO;1;MONOMOTOR;1542;7;1980;BRASIL;BRASIL;JORDÃO;TARAUACÁ;SUBIDA;REGULAR;SUBSTANCIAL;0
88767;PTXRI;AVIÃO;CESSNA AIRCRAFT;U206E;C206;PISTÃO;1;MONOMOTOR;1633;6;1970;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INDETERMINADA;PRIVADA;DESTRUÍDA;1
88766;PROOU;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;NULL;2024;BRASIL;BRASIL;EURICO DE AGUIAR SALLES;AERÓDROMO NÃO CADASTRADO;POUSO;TÁXI AÉREO;LEVE;0
88765;PRGXN;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;199;2014;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;CONGONHAS;ARREMETIDA NO AR;REGULAR;NENHUM;0
88765;PSADE;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2025;BRASIL;BRASIL;CONGONHAS;TANCREDO NEVES;DECOLAGEM;REGULAR;NENHUM;0
88764;PRMSJ;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;0;2013;BRASIL;BRASIL;FAZENDA TERRA PROMETIDA;AERÓDROMO NÃO CADASTRADO;POUSO;PRIVADA;SUBSTANCIAL;0
88762;PUSJB;AVIÃO;ZENAIR;STOL CH 701;ZZZZ;PISTÃO;1;MONOMOTOR;0;2;2025;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;EXPERIMENTAL;SUBSTANCIAL;0
88761;PRNFN;AVIÃO;RAYTHEON AIRCRAFT;C90A;BE9L;TURBOÉLICE;2;BIMOTOR;4581;0;0;BRASIL;BRASIL;ARAGUAIANA;SENADOR PETRÔNIO PORTELLA;CIRCUITO DE TRÁFEGO;TÁXI AÉREO;NENHUM;0
88761;PRWSB;AVIÃO;LEARJET;45 (LEARJET 40);LJ40;JATO;2;BIMOTOR;9231;9;2003;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;SENADOR PETRÔNIO PORTELLA;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88760;PPDIL;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2010;BRASIL;BRASIL;SÃO GABRIEL;SÃO GABRIEL;TÁXI;PRIVADA;SUBSTANCIAL;0
88759;PRRCY;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1977;BRASIL;BRASIL;PARÁ DE MINAS;PARÁ DE MINAS;SUBIDA;INSTRUÇÃO;LEVE;0
88758;PRGPF;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;7;1997;BRASIL;BRASIL;PATOS DE MINAS;MÁRIO RIBEIRO;POUSO;TÁXI AÉREO;NENHUM;0
88757;PSSBF;AVIÃO;EMBRAER;EMB-203;IPAN;PISTÃO;1;MONOMOTOR;1900;0;0;BRASIL;BRASIL;Fazenda Dona Vera;Fazenda Dona Vera;MANOBRA;AGRÍCOLA;SUBSTANCIAL;1
88756;PPZGI;AVIÃO;GEORGE DE REZENDE IPLINSKY;RV-10;ZZZZ;PISTÃO;1;MONOMOTOR;1224;4;2011;BRASIL;BRASIL;CATANDUVA;GENERAL LEITE DE CASTRO;APROXIMAÇÃO FINAL;EXPERIMENTAL;SUBSTANCIAL;0
88755;PTEYT;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;1;MONOMOTOR;1633;6;1979;BRASIL;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CAMPO DE MARTE - SP;SUBIDA;PRIVADA;DESTRUÍDA;3
88754;PTYYU;HELICÓPTERO;EUROCOPTER;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2000;BRASIL;BRASIL;SURUCUCU;SURUCUCU;POUSO;REGULAR;NENHUM;0
88750;PROTN;HELICÓPTERO;AIRBUS HELICOPTERS;EC175 B;EC75;TURBOEIXO;2;BIMOTOR;7800;18;2019;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;MARICÁ;INSPEÇÃO DE TRÂNSITO/INTERVOO;REGULAR;NENHUM;0
88749;PSILU;AVIÃO;RAYTHEON AIRCRAFT;400A;BE40;JATO;2;BIMOTOR;7394;NULL;2005;BRASIL;BRASIL;BARTOLOMEU LISANDRO;SANTOS DUMONT;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88747;PRWZR;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;3995;NULL;NULL;BRASIL;BRASIL;PARATI;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
88746;PSPCM;AVIÃO;PIPER AIRCRAFT;PA-46-500TP;P46T;TURBOÉLICE;1;MONOMOTOR;2310;NULL;2014;BRASIL;BRASIL;SALGADO FILHO;SALGADO FILHO;TÁXI;POLICIAL;LEVE;0
88744;PTXTX;AVIÃO;BEECH AIRCRAFT;C90;BE9L;TURBOÉLICE;2;BIMOTOR;4377;NULL;1981;BRASIL;BRASIL;PINTO MARTINS;PRESIDENTE CASTRO PINTO;POUSO;PRIVADA;NENHUM;0
88743;PSGPJ;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82644;197;2022;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;ZUMBI DOS PALMARES;DECOLAGEM;REGULAR;LEVE;0
88742;PROHE;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;2;BIMOTOR;12020;22;2012;BRASIL;BRASIL;SÃO TOMÉ;AERÓDROMO NÃO CADASTRADO;PARTIDA DO MOTOR;REGULAR;LEVE;0
88741;PRMBN;AVIÃO;AIRBUS;A319-132;A319;JATO;2;BIMOTOR;75500;154;2007;BRASIL;BRASIL;SANTOS DUMONT;CONGONHAS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
88740;PTRLL;AVIÃO;NEIVA;EMB-721D;P32R;PISTÃO;1;MONOMOTOR;1633;6;1981;BRASIL;BRASIL;PORTO SEGURO;MÁRIO RIBEIRO;POUSO;PRIVADA;NENHUM;0
88739;PRHPM;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2010;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;JACOBINA;CRUZEIRO;POLICIAL;LEVE;0
88738;PRMYT;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;2;BIMOTOR;77000;184;2012;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;SALGADO FILHO;CRUZEIRO;REGULAR;NENHUM;0
88737;PRYRY;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;2;BIMOTOR;77000;182;2019;BRASIL;BRASIL;PORTO SEGURO;LEITE LOPES;DESCIDA;REGULAR;NENHUM;0
88736;PSAEC;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;143;2019;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88736;PSCBC;AVIÃO;EMBRAER;EMB-810C;PA34;;2;BIMOTOR;2073;0;0;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88734;PRMHP;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2007;BRASIL;BRASIL;MARECHAL CUNHA MACHADO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
88733;PPLMP;AVIÃO;CESSNA AIRCRAFT;150J;C150;PISTÃO;1;MONOMOTOR;726;2;1964;BRASIL;BRASIL;AEROCLUBE DE SANTA CATARINA;AEROCLUBE DE SANTA CATARINA;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM;0
88733;PUMCL;ULTRALEVE;JEFFERSON A. M. CAMPELO;VIMANA R-12;ULAC;PISTÃO;1;MONOMOTOR;506;2;2003;BRASIL;BRASIL;CONDOMÍNIO GUAPORÉ II;AEROCLUBE DE SANTA CATARINA;APROXIMAÇÃO FINAL;EXPERIMENTAL;NENHUM;0
88733;PUMNM;ULTRALEVE;TECNAM CONSTRUZIONI AERONAUTICHE;P2008;ZZZZ;PISTÃO;1;MONOMOTOR;600;2;2011;BRASIL;BRASIL;CONDOMÍNIO GUAPORÉ II;AEROCLUBE DE SANTA CATARINA;APROXIMAÇÃO FINAL;EXPERIMENTAL;NENHUM;0
88732;PTMXB;AVIÃO;AIRBUS;A321-231;A321;JATO;2;BIMOTOR;89000;232;2007;BRASIL;BRASIL;PINTO MARTINS;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;LEVE;0
88731;PRYYL;AVIÃO;AIRBUS;A320-251N;A20N;JATO;2;BIMOTOR;79000;NULL;2016;BRASIL;BRASIL;GUARARAPES - GILBERTO FREYRE;TANCREDO NEVES;DECOLAGEM;REGULAR;LEVE;0
88730;PRYJE;AVIÃO;AIRBUS S.A.S.;A321-251NX;A21N;JATO;2;BIMOTOR;89000;223;2021;BRASIL;BRASIL;VIRACOPOS;GUARARAPES - GILBERTO FREYRE;POUSO;REGULAR;LEVE;0
88729;PRXMA;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82190;196;2018;BRASIL;BRASIL;FERNANDO DE NORONHA;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;LEVE;0
88728;PSAES;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2023;BRASIL;BRASIL;VIRACOPOS;ANTONIO CARLOS JOBIM / GALEÃO;DECOLAGEM;REGULAR;LEVE;0
88727;PRYSR;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;2;BIMOTOR;77000;183;2024;BRASIL;BRASIL;PROFESSOR ERIBERTO MANOEL REINO;ZUMBI DOS PALMARES;DECOLAGEM;REGULAR;LEVE;0
88726;PRAUE;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;0;2014;BRASIL;BRASIL;TANCREDO NEVES;EURICO DE AGUIAR SALLES;DECOLAGEM;REGULAR;LEVE;0
88725;PRANV;AVIÃO;AIRBUS;A330-941;A339;JATO;2;BIMOTOR;242000;314;2022;BRASIL;BRASIL;AEROPORTO INTERNACIONAL DE ORLANDO;VIRACOPOS;POUSO;REGULAR;LEVE;0
88724;PSCNF;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;4110;NULL;2022;BRASIL;BRASIL;PATOS DE MINAS;TANCREDO NEVES;DESCIDA;REGULAR;NENHUM;0
88723;PRHBZ;HELICÓPTERO;EUROCOPTER;EC 130 B4;EC30;TURBOEIXO;1;MONOMOTOR;2427;8;2012;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;POLICIAL;NENHUM;0
88722;PSMJG;AVIÃO;CIRRUS DESIGN;SR22;SR22;PISTÃO;1;MONOMOTOR;1633;NULL;2014;BRASIL;BRASIL;COXIM;Aeroporto Regional de Pato Branco;POUSO;PRIVADA;LEVE;0
88720;PRYRV;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;160;0;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;NENHUM;0
88719;PRXMA;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82190;196;2018;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;MARECHAL CUNHA MACHADO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88719;PRYSE;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;2;BIMOTOR;77000;183;2019;BRASIL;BRASIL;VIRACOPOS;MARECHAL CUNHA MACHADO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88718;PROTH;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;14;2021;BRASIL;BRASIL;JACAREPAGUÁ;AERÓDROMO NÃO CADASTRADO;SUBIDA;REGULAR;NENHUM;0
88717;BRXXX2;AVIÃO;DESCONHECIDO;DESCONHECIDO;***;DESCONHECIDO;DESCONHECIDO;***;0;NULL;NULL;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;CRUZEIRO;EXPERIMENTAL;NENHUM;0
88716;PRYRD;AVIÃO;AIRBUS;A320-251N;A320;JATO;3;TRIMOTOR;79000;NULL;2016;BRASIL;BRASIL;VAL DE CANS / JÚLIO CEZAR RIBEIRO;VIRACOPOS;DESCIDA;REGULAR;NENHUM;0
88715;PPMUK;AVIÃO;TEXTRON AVIATION;525;C525;JATO;2;BIMOTOR;4853;8;2019;BRASIL;BRASIL;BACACHERI;AFONSO PENA;TÁXI;PRIVADA;NENHUM;0
88715;PRZBJ;AVIÃO;MARCOS LEE TEIXEIRA MORENO;RV-10;ZZZZ;PISTÃO;1;MONOMOTOR;1224;4;2011;BRASIL;BRASIL;BACACHERI;OLAVO CECCO RIGON;TÁXI;REGULAR;NENHUM;0
88714;PSSUP;AVIÃO;CIRRUS DESIGN;SR22;SR22;PISTÃO;1;MONOMOTOR;1633;NULL;2016;BRASIL;BRASIL;COSTA ESMERALDA;BACACHERI;POUSO;PRIVADA;NENHUM;0
88712;PROTW;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;6800;NULL;2013;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;JACAREPAGUÁ;POUSO;REGULAR;NENHUM;0
88710;PUFCO;ULTRALEVE;F C OLIVEIRA E CIA LTDA;PARADISE;ULAC;PISTÃO;1;MONOMOTOR;510;2;2005;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;INDETERMINADA;EXPERIMENTAL;DESTRUÍDA;1
88709;PSIBD;HELICÓPTERO;AGUSTA;AW119MKII;A119;TURBOEIXO;2;BIMOTOR;2850;NULL;2013;BRASIL;BRASIL;FORA DE AERODROMO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;POLICIAL;LEVE;0
88708;PTKKN;AVIÃO;CESSNA AIRCRAFT;U206F;C206;PISTÃO;1;MONOMOTOR;1633;6;1975;BRASIL;BRASIL;POUSO DA ÁGUIA;AERÓDROMO NÃO CADASTRADO;PARTIDA DO MOTOR;REGULAR;NENHUM;0
88707;PTJFJ;AVIÃO;BEECH AIRCRAFT;95-B55;BE55;PISTÃO;2;BIMOTOR;2313;6;1974;BRASIL;BRASIL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;PRIVADA;LEVE;0
88706;PROTV;AVIÃO;TEXTRON AVIATION;B200GT;BE30;TURBOÉLICE;2;BIMOTOR;5670;9;2016;BRASIL;BRASIL;FAZENDA PRIMAVERA;BEBEDOURO;DECOLAGEM;PRIVADA;LEVE;0
88705;PROGG;AVIÃO;CESSNA AIRCRAFT;172P;C172;PISTÃO;1;MONOMOTOR;1089;4;1983;BRASIL;BRASIL;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;DECOLAGEM;INSTRUÇÃO;NENHUM;0
88704;PPJBB;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2011;BRASIL;BRASIL;Comandante Rolim Adolfo Amaro;CAMPO DE MARTE - SP;INDETERMINADA;TÁXI AÉREO;LEVE;0
88703;PPBBH;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;1;MONOMOTOR;3629;NULL;NULL;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;MANOBRA;AGRÍCOLA;LEVE;0
88702;PRZVM;AVIÃO;VINICIUS DE MIRANDA;RV-7A;ZZZZ;PISTÃO;1;MONOMOTOR;816;2;2012;BRASIL;BRASIL;AMERICANA;SÍTIO BELA VISTA;APROXIMAÇÃO FINAL;EXPERIMENTAL;LEVE;0
88701;PRTYV;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;2;BIMOTOR;78000;189;2015;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;NENHUM;0
88700;PRYYL;AVIÃO;AIRBUS;A320-251N;A20N;JATO;2;BIMOTOR;79000;NULL;2016;BRASIL;BRASIL;TANCREDO NEVES;EURICO DE AGUIAR SALLES;DECOLAGEM;REGULAR;NENHUM;0
88699;PSGPE;AVIÃO;BOEING COMPANY;B737-8 MAX;B38M;JATO;2;BIMOTOR;78000;0;2018;BRASIL;BRASIL;LAURO CARNEIRO DE LOYOLA;CONGONHAS;POUSO;REGULAR;LEVE;0
88698;PSAER;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2023;BRASIL;BRASIL;TANCREDO NEVES;PREFEITO RENATO MOREIRA;CRUZEIRO;REGULAR;NENHUM;0
88697;PRYRA;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;2016;BRASIL;BRASIL;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;GUARARAPES - GILBERTO FREYRE;CRUZEIRO;REGULAR;NENHUM;0
88696;PRYRQ;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;170;0;BRASIL;BRASIL;VIRACOPOS;ZUMBI DOS PALMARES;TÁXI;REGULAR;NENHUM;0
88695;PRAXG;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;VIRACOPOS;TÁXI;REGULAR;NENHUM;0
88694;PRAXE;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;SANTOS DUMONT;TANCREDO NEVES;SUBIDA;REGULAR;NENHUM;0
88693;PRGXA;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;199;2013;BRASIL;BRASIL;SANTOS DUMONT;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
88692;PRMAK;AVIÃO;AIRBUS;A320-232;A320;JATO;2;BIMOTOR;77000;166;2002;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88691;PPYBF;AVIÃO;BOEING COMPANY;737-8AS;B738;JATO;2;BIMOTOR;79015;8;2004;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
88690;PRDCM;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2010;BRASIL;BRASIL;FORA DE AERODROMO;NÃO IDENTIFICADO;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
88689;PPFFL;AVIÃO;PIPER AIRCRAFT;PA-18-150;PA18;PISTÃO;1;MONOMOTOR;793;2;1974;BRASIL;BRASIL;FORMOSA;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;POLICIAL;NENHUM;0
88688;PRJMO;AVIÃO;BEECH AIRCRAFT;C90;BE9L;TURBOÉLICE;2;BIMOTOR;4377;7;1999;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;ZUMBI DOS PALMARES;DECOLAGEM;PRIVADA;NENHUM;0
88687;PRGEQ;AVIÃO;BOEING;737-7K5;B737;JATO;2;BIMOTOR;64000;0;0;BRASIL;BRASIL;CONGONHAS;REGIONAL HUGO CANTERGIANI;CRUZEIRO;REGULAR;NENHUM;0
88686;PRSDV;AVIÃO;BOEING;737-4Q8;B734;JATO;2;BIMOTOR;68038;NULL;NULL;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;LEVE;0
88685;PRTYQ;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;2;BIMOTOR;78000;189;2015;BRASIL;BRASIL;CONGONHAS;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;LEVE;0
88684;PSAED;AVIÃO;YABORA INDUSTRIA AERONAUTICA S.A.;ERJ 190-400;E295;JATO;2;BIMOTOR;61500;0;2020;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;VIRACOPOS;POUSO;REGULAR;NENHUM;0
88683;PRXMK;AVIÃO;BOEING COMPANY;58;B38M;JATO;2;BIMOTOR;82190;0;2022;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;ANTONIO CARLOS JOBIM / GALEÃO;ESTACIONAMENTO;REGULAR;LEVE;0
88682;PRAXG;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2012;BRASIL;BRASIL;SANTOS DUMONT;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
88681;PRAKF;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT73;TURBOÉLICE;2;BIMOTOR;23000;75;0;BRASIL;BRASIL;PROFESSOR ERIBERTO MANOEL REINO;VIRACOPOS;DECOLAGEM;REGULAR;NENHUM;0
88680;PSGRH;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;1;MONOMOTOR;82190;0;0;BRASIL;BRASIL;CONGONHAS;TANCREDO NEVES;ESTACIONAMENTO;REGULAR;LEVE;0
88679;PRXMU;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82644;196;2021;BRASIL;BRASIL;SALGADO FILHO;ANTONIO CARLOS JOBIM / GALEÃO;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
88678;PRXMI;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82190;0;0;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;MARECHAL CUNHA MACHADO;POUSO;REGULAR;LEVE;0
88677;PSGRI;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;2;BIMOTOR;82190;0;2025;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;CONGONHAS;POUSO;REGULAR;LEVE;0
88676;PRGYD;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;2;BIMOTOR;70533;0;2016;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;CONGONHAS;POUSO;REGULAR;LEVE;0
88675;PRTYS;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;2;BIMOTOR;78000;189;2015;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;DECOLAGEM;REGULAR;LEVE;0
88674;PRMBU;AVIÃO;AIRBUS;A319-132;A319;JATO;2;BIMOTOR;75500;154;2008;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTOS DUMONT;CRUZEIRO;REGULAR;NENHUM;0
88673;PROHD;HELICÓPTERO;AGUSTA;AW139;A139;TURBOEIXO;2;BIMOTOR;6800;17;2013;BRASIL;BRASIL;MINISTRO VICTOR KONDER;MINISTRO VICTOR KONDER;TÁXI;NÃO APLICÁVEL;NENHUM;0
88672;PRSTD;AVIÃO;MITSUBISHI AIRCRAFT;MU-2B-60;MU2;TURBOÉLICE;2;BIMOTOR;5250;11;1981;BRASIL;BRASIL;MARECHAL RONDON;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;CRUZEIRO;REGULAR;NENHUM;0
88671;PROHD;HELICÓPTERO;AGUSTA;AW139;A139;TURBOEIXO;2;BIMOTOR;6800;17;2013;BRASIL;BRASIL;MINISTRO VICTOR KONDER;MINISTRO VICTOR KONDER;PARTIDA DO MOTOR;NÃO APLICÁVEL;NENHUM;0
88670;PSLMP;AVIÃO;EMBRAER;ERJ 190-300;E290;JATO;2;BIMOTOR;56400;NULL;2019;BRASIL;BRASIL;SOROCABA;PROFESSOR ERIBERTO MANOEL REINO;CRUZEIRO;PRIVADA;NENHUM;0
88670;PTEUR;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;3;1979;BRASIL;BRASIL;FORMOSA;SOROCABA;CRUZEIRO;PRIVADA;NENHUM;0
88669;PROHR;HELICÓPTERO;AGUSTA;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;NULL;2014;BRASIL;BRASIL;JACAREPAGUÁ;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;REGULAR;NENHUM;0
88668;PTUVE;AVIÃO;EMBRAER;EMB-202A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;2008;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;POUSO;AGRÍCOLA;LEVE;0
88667;PRKRU;AVIÃO;CESSNA AIRCRAFT;A152;C152;PISTÃO;1;MONOMOTOR;757;2;1978;BRASIL;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;DECOLAGEM;INSTRUÇÃO;NENHUM;0
